-0.4	0	0.6	53	0	0	0	345.1
-1	0	0.6	55	0	0	0	333.1
-1.1	0	0.3	56	0	0	0	337
-1.1	0	0.5	54	0	0	0	336.3
-1.8	0	0.7	52	0	0	0	337.3
-1.8	0	1.2	52	0	0	0	328.4
-1.8	0	1.2	52	0	0	0	317.3
-2.6	0	0.2	53	0	0	0	323.7
-3.2	0	0.1	55	0	0	0	310.9
-0.5	0	0.9	47	0	0	0	290.6
1.9	0	1.7	36	0.9	0	0	281.4
3.1	0	2.9	25	1	0	0	270.9
4	0	2.6	19	1	0	0	273.2
5	0	3	18	1	0	0	271.1
5.5	0	3.2	21	1	0	0	283.1
5.2	0	3.1	23	1	0	0	299.5
4.5	0	3	30	1	0	0	318.1
3.6	0	1.8	33	0.2	0	0	329.5
2.5	0	1.7	40	0	0	0	340.9
0.4	0	1	51	0	0	0	344.5
0.7	0	1.4	49	0	0	0	345.1
-0.7	0	0.5	57	0	0	0	346.6
-1.8	0	0.1	64	0	0	0	343.8
-1.8	0	0.2	65	0	0	0	368.9
-3	0	0.1	72	0	0	0	462
-2.6	0	0.2	71	0	0	0	502.9
-3.7	0	0	78	0	0	0	495.1
-4.5	0	0.4	84	0	0	0	526.6
-4.7	0	0.2	86	0	0	0	549.3
-4.6	0	0.1	83	0	0	0	613.2
-5.2	0	0.3	89	0	0	0	712.9
-5.2	0	0.1	89	0	0	0	859.4
-5.4	0	0.1	90	0	0	0	922
-3.7	0	0.3	83	0	0	0	884
-1.2	0	0.4	71	0.9	0	0	825.2
1.5	0	0.4	66	0.9	0	0	815.1
5.6	0	2.6	54	1	0	0	821.9
6	0	2.3	52	0.5	0	0	814.9
6.5	0	2.7	52	0.2	0	0	790.2
5.9	0	2.4	55	0.1	0	0	753.7
5.6	0	1.8	58	0	0	0	735.3
5.2	0	1.3	60	0	0	0	650.1
3.7	0	1.2	64	0	0	0	582.5
2.6	0	1.6	59	0	0	0	437.8
2.6	0	1.1	46	0	0	0	404.7
2.4	0	2.1	43	0	0	0	389.5
2	0	1.3	40	0	0	0	361.8
1.5	0	0.9	30	0	0	0	337.8
0.3	0	1.2	31	0	0	0	363.4
0	0	2.2	33	0	0	0	455.6
-0.2	0	2.2	42	0	0	0	457.7
-1.4	0	0.7	50	0	0	0	462.1
-2.1	0	0.3	54	0	0	0	493.7
-2	0	1.1	53	0	0	0	603.8
-2.7	0	0.6	54	0	0	0	682.2
-3.3	0	0.6	56	0	0	0	823.2
-3	0	1.2	47	0	0	0	873.1
-1.8	0	1.6	39	0	0	0	797.5
-0.3	0	2.8	32	0.9	0	0	807.4
0.4	0	2.3	25	1	0	0	760.4
1.7	0	2.3	26	1	0	0	716
2.8	0	1.9	25	1	0	0	706.2
3.1	0	3.2	24	1	0	0	652
3.5	0	2.6	20	1	0	0	682
2.6	0	2.2	22	1	0	0	644.3
1.4	0	1.3	29	0.3	0	0	639.3
0.5	0	1.8	33	0	0	0	585.1
0.2	0	1.4	33	0	0	0	442.5
-0.9	0	1.2	39	0	0	0	432.3
-1.4	0	1	44	0	0	0	422.3
-2	0	1.5	47	0	0	0	373.7
-2	0	1.4	46	0	0	0	345.5
-2	0	2.4	48	0	0	0	374.6
-2.3	0	1.6	52	0	0	0	459.1
-2.7	0	1.5	58	0	0	0	455.5
-2.7	0	1.7	62	0	0	0	496.8
-2.9	0	1.3	64	0	0	0	503.5
-2.6	0	2.6	63	0	0	0	569
-3.1	0	1.3	67	0	0	0	646.8
-3.5	0	1.2	69	0	0	0	816.7
-4	0	0.9	70	0	0	0	883
-2.8	0	1.6	64	0	0	0	833.8
-1.3	0	2.2	58	0.9	0	0	819
0.2	0	1.5	48	1	0	0	791.9
0.8	0	1.2	38	1	0	0	771.7
1.7	0	0.9	34	1	0	0	737.4
2.9	0	0.7	30	1	0	0	710.7
3.1	0	1.4	28	1	0	0	700.7
3.1	0	0.1	27	0.6	0	0	722.2
2.9	0	1.1	29	0	0	0	704.5
2.2	0	0.2	32	0	0	0	599.4
1.4	0	0.1	38	0	0	0	442.2
0.6	0	0.4	45	0	0	0	433.1
0.1	0	1.2	51	0	0	0	414.5
0.2	0	0.3	47	0	0	0	368.3
0.2	0	0.2	46	0	0	0	340.3
0	0	0.9	49	0	0	0	396.8
-0.3	0	0.5	53	0	0	0	470.2
-0.5	0	0.9	53	0	0	0	476
-0.5	0	0.6	53	0	0	0	481.2
-0.5	0	0.8	52	0	0	0	501.9
-0.2	0	1.4	49	0	0	0	581.3
-0.1	0	1.9	46	0	0	0	668.8
-0.1	0	1.2	44	0	0	0	797.2
0	0	1.2	44	0	0	0	878.3
0.1	0	1.9	43	0	0	0	822.1
0.9	0	1.9	39	0.2	0	0	768.4
2.6	0	2.6	35	0.9	0	0	747.1
3.4	0	2.6	31	1	0	0	732.3
4.7	0	2.2	28	1	0	0	677.2
4.9	0	3	23	1	0	0	642.1
5.2	0	2.1	20	1	0	0	545.2
4.7	0	2.8	22	1	0	0	460.7
3.5	0	3.1	33	0.3	0	0	494.3
