312.1	345.1
313.4	333.1
311.7	337
309.1	336.3
310.4	337.3
314.6	328.4
319.8	317.3
321.1	323.7
321	310.9
327.9	290.6
333.3	281.4
303.2	270.9
296.1	273.2
295.7	271.1
286.7	283.1
317.7	299.5
329.1	318.1
342.3	329.5
345.3	340.9
336.1	344.5
339	345.1
339.3	346.6
335.4	343.8
322	368.9
317.7	462
329.7	502.9
531.1	495.1
544.9	526.6
525.1	549.3
656.6	613.2
751.3	712.9
785.3	859.4
854.3	922
817.3	884
777	825.2
758.9	815.1
716.4	821.9
741.4	814.9
715.3	790.2
685	753.7
669.9	735.3
618.6	650.1
545.6	582.5
413.3	437.8
398.3	404.7
390.4	389.5
357.5	361.8
334.2	337.8
319.8	363.4
313.8	455.6
309.8	457.7
450.5	462.1
484.6	493.7
619.8	603.8
744.2	682.2
787.3	823.2
824.6	873.1
768.9	797.5
713	807.4
651	760.4
609.7	716
617.8	706.2
559.2	652
537.1	682
555.2	644.3
592.9	639.3
525.3	585.1
395.9	442.5
387	432.3
381.1	422.3
345.8	373.7
327.8	345.5
318	374.6
314.7	459.1
313.4	455.5
423.3	496.8
493.7	503.5
627.7	569
739	646.8
767.6	816.7
820.1	883
766.2	833.8
739.1	819
647.3	791.9
606	771.7
601.3	737.4
531.9	710.7
518	700.7
530.8	722.2
574.2	704.5
530.4	599.4
400.1	442.2
378.8	433.1
356.6	414.5
337.7	368.3
322.7	340.3
314.2	396.8
309.1	470.2
309.9	476
435.8	481.2
478	501.9
602.6	581.3
715.7	668.8
767.4	797.2
842.9	878.3
741.1	822.1
705.9	768.4
680.2	747.1
572.8	732.3
593.1	677.2
541.8	642.1
539.6	545.2
531.1	460.7
567.2	494.3
527.7	450.5
395	359.2
380.4	358.9
372.8	358.4
344.9	338
329.6	323.1
314.3	323.4
309	324.6
309.7	322
372.8	323.8
492.8	323.6
630.9	327.1
710.2	341.2
754.4	343.9
783.3	329.3
729.5	311.8
717.6	317.2
597.9	306.9
570.3	298.7
534.5	283.6
478.1	296.4
450.6	311.4
422.3	316.7
464.1	335
414.4	336
335.6	345.6
346.4	359.7
322.5	350.9
318.6	327
309.3	320.2
304.2	314.6
303	314.6
301.7	317.5
303.7	311.3
301.1	316.9
304.9	327.8
314.1	345.6
318.2	341.4
322	328.8
324.3	319.8
300.7	313.7
296	309.7
287.2	320.7
302	308.6
314.1	312.3
336	322.1
331.4	320.3
333.4	324.2
336	335.2
323.8	335.3
327.2	337.9
331.2	343.7
320.2	332.5
317.4	354.1
310.2	464.8
310.8	455.1
305.8	451.7
304.5	446.7
302.6	501.5
310.6	582.1
321.9	648.7
325.3	821.6
324.8	912.4
313	880.1
321.4	828.7
318.1	797.4
278.7	778.8
273	738.9
292.2	705.4
311.3	670.5
331.9	685
331.3	657.9
319.9	565.5
319.3	423.9
311.2	398.1
311.6	389.8
310.6	360.3
309.5	360
312.3	392.8
325.9	395.5
438.9	470.6
491.4	485.7
473.1	490.9
548.4	593.8
717	710.9
