0.000	1.687	5.229	70.564	167.396
0.000	1.274	3.727	59.225	132.973
0.000	1.377	4.020	62.198	142.010
0.000	1.583	4.826	67.972	159.548
0.000	1.222	3.604	57.739	128.455
0.000	1.635	5.027	69.268	163.472
0.000	1.377	4.020	62.198	142.010
0.003	0.742	2.188	39.239	81.293
0.087	0.680	1.964	36.480	73.921
0.322	0.847	2.523	43.725	92.557
0.543	0.970	2.865	48.470	103.973
0.720	0.649	1.852	35.101	70.235
0.782	1.177	3.481	56.253	123.936
0.778	0.680	1.964	36.480	73.921
0.679	1.094	3.234	53.214	115.388
0.552	0.773	2.299	40.618	84.980
0.390	0.847	2.523	43.725	92.557
0.000	0.526	1.562	29.583	55.490
0.000	0.455	1.361	25.854	46.136
0.000	0.476	1.428	27.091	49.227
0.000	0.556	1.630	30.963	59.176
0.000	0.587	1.697	32.342	62.862
0.000	0.414	1.227	23.381	39.952
0.000	0.587	1.697	32.342	62.862
0.000	0.742	2.188	39.239	81.293
0.000	0.393	1.166	22.144	36.860
0.000	0.414	1.227	23.381	39.952
0.000	0.295	0.886	16.516	24.616
0.000	0.151	0.322	4.375	4.430
0.000	0.130	0.233	3.399	3.221
0.000	0.202	0.510	8.180	10.376
0.003	0.233	0.610	10.463	13.943
0.084	0.109	0.143	2.542	2.269
0.313	0.000	0.000	-0.571	0.000
0.589	0.000	0.000	-0.143	0.000
0.762	0.000	0.000	-0.428	0.000
0.815	0.058	0.000	0.470	0.000
0.798	0.000	0.000	-0.600	0.000
0.746	0.037	0.000	0.208	0.000
0.605	0.006	0.000	-0.184	0.000
0.407	0.017	0.000	-0.053	0.000
0.000	0.223	0.577	9.702	12.754
0.000	0.649	1.852	35.101	70.235
0.000	0.476	1.428	27.091	49.227
0.000	0.496	1.495	28.328	52.319
0.000	0.649	1.852	35.101	70.235
0.000	0.649	1.852	35.101	70.235
0.000	0.455	1.361	25.854	46.136
0.000	0.352	1.054	19.671	30.677
0.000	0.311	0.942	17.527	26.400
0.000	0.285	0.830	15.505	22.833
0.000	0.140	0.278	3.827	3.696
0.000	0.017	0.000	-0.053	0.000
0.000	0.048	0.000	0.339	0.000
0.000	0.078	0.009	1.258	0.842
0.000	0.151	0.322	4.375	4.430
0.053	0.099	0.098	2.114	1.794
0.212	0.017	0.000	-0.053	0.000
0.362	0.109	0.143	2.542	2.269
0.346	0.000	0.000	-0.571	0.000
0.429	0.000	0.000	-0.600	0.000
0.496	0.000	0.000	-0.600	0.000
0.417	0.000	0.000	-0.571	0.000
0.364	0.000	0.000	-0.576	0.000
0.274	0.202	0.510	8.180	10.376
0.000	0.089	0.054	1.686	1.318
0.000	0.000	0.000	-0.315	0.000
0.000	0.027	0.000	0.078	0.000
0.000	0.151	0.322	4.375	4.430
0.000	0.151	0.322	4.375	4.430
0.000	0.120	0.188	2.971	2.745
0.000	0.243	0.644	11.462	15.698
0.000	0.254	0.678	12.473	17.482
0.000	0.311	0.942	17.527	26.400
0.000	1.012	2.988	50.051	107.778
0.000	1.274	3.727	59.225	132.973
0.000	0.847	2.523	43.725	92.557
0.000	1.012	2.988	50.051	107.778
0.000	1.094	3.234	53.214	115.388
0.000	0.649	1.852	35.101	70.235
0.075	0.773	2.299	40.618	84.980
0.300	1.869	5.848	74.452	179.168
0.627	2.520	8.028	85.453	214.844
0.835	1.808	5.632	73.156	175.244
0.866	1.326	3.850	60.712	137.492
0.884	3.000	9.722	94.391	244.772
0.728	2.881	8.980	89.509	228.686
0.644	3.000	9.360	91.031	233.918
0.415	2.899	9.990	97.363	253.690
0.000	1.993	6.295	77.045	187.016
0.000	1.480	4.423	65.171	151.048
0.000	1.687	5.229	70.564	167.396
0.000	1.532	4.624	66.657	155.566
0.000	1.177	3.481	56.253	123.936
0.000	1.532	4.624	66.657	155.566
0.000	0.742	2.188	39.239	81.293
0.000	0.773	2.299	40.618	84.980
0.000	0.618	1.764	33.721	66.548
0.000	1.053	3.111	51.633	111.583
0.000	0.888	2.635	45.307	96.362
0.000	1.177	3.481	56.253	123.936
0.000	0.742	2.188	39.239	81.293
0.000	0.711	2.076	37.859	77.607
0.006	0.373	1.110	20.907	33.769
0.139	0.476	1.428	27.091	49.227
0.448	1.993	6.295	77.045	187.016
0.722	2.447	7.838	84.419	211.396
0.872	1.635	5.027	69.268	163.472
0.952	1.869	5.848	74.452	179.168
0.934	1.869	5.848	74.452	179.168
0.838	3.000	9.453	91.792	236.534
0.653	1.532	4.624	66.657	155.566
0.415	0.805	2.411	42.144	88.752
0.000	0.393	1.166	22.144	36.860
0.000	0.213	0.543	8.941	11.565
0.000	0.373	1.110	20.907	33.769
0.000	0.213	0.543	8.941	11.565
0.000	0.171	0.409	5.897	6.808
0.000	0.161	0.367	5.136	5.619
0.000	0.192	0.476	7.419	9.186
0.000	0.435	1.294	24.618	43.044
0.000	1.377	4.020	62.198	142.010
0.000	0.929	2.747	46.888	100.168
0.000	1.135	3.358	54.766	119.417
0.000	0.680	1.964	36.480	73.921
0.000	1.377	4.020	62.198	142.010
